Timestamp,GSR Value (uS)
2025-05-22 20:13:04.255,-0.24
2025-05-22 20:13:04.390,-0.24
2025-05-22 20:13:04.540,-0.29
2025-05-22 20:13:04.719,-0.29
2025-05-22 20:13:04.900,-0.29
2025-05-22 20:13:05.079,-0.24
2025-05-22 20:13:05.200,-0.29
2025-05-22 20:13:05.380,-0.24
2025-05-22 20:13:05.500,-0.24
2025-05-22 20:13:05.679,-0.29
2025-05-22 20:13:05.800,-0.29
2025-05-22 20:13:06.040,-0.24
2025-05-22 20:13:06.160,-0.29
2025-05-22 20:13:06.279,-0.29
2025-05-22 20:13:06.460,-0.29
2025-05-22 20:13:06.579,-0.29
2025-05-22 20:13:06.760,-0.29
2025-05-22 20:13:06.879,-0.24
2025-05-22 20:13:07.060,-0.29
2025-05-22 20:13:07.179,-0.24
2025-05-22 20:13:07.360,-0.29
2025-05-22 20:13:07.479,-0.24
2025-05-22 20:13:07.660,-0.24
2025-05-22 20:13:07.839,-0.29
2025-05-22 20:13:07.960,-0.29
2025-05-22 20:13:08.139,-0.29
2025-05-22 20:13:08.260,-0.29
2025-05-22 20:13:08.439,-0.29
2025-05-22 20:13:08.560,-0.29
2025-05-22 20:13:08.740,-0.29
2025-05-22 20:13:08.920,-0.29
2025-05-22 20:13:09.039,-0.24
2025-05-22 20:13:09.220,-0.29
2025-05-22 20:13:09.340,-0.29
2025-05-22 20:13:09.520,-0.24
2025-05-22 20:13:09.639,-0.24
2025-05-22 20:13:09.820,-0.29
2025-05-22 20:13:09.939,-0.29
2025-05-22 20:13:10.120,-0.29
2025-05-22 20:13:10.300,-0.29
2025-05-22 20:13:10.420,-0.24
2025-05-22 20:13:10.600,-0.29
2025-05-22 20:13:10.720,-0.29
2025-05-22 20:13:10.900,-0.29
2025-05-22 20:13:11.020,-0.29
2025-05-22 20:13:11.200,-0.24
2025-05-22 20:13:11.320,-0.29
2025-05-22 20:13:11.500,-0.24
2025-05-22 20:13:11.620,-0.29
2025-05-22 20:13:11.800,-0.29
2025-05-22 20:13:11.979,-0.29
2025-05-22 20:13:12.100,-0.24
2025-05-22 20:13:12.279,-0.29
2025-05-22 20:13:12.400,-0.29
2025-05-22 20:13:12.580,-0.29
2025-05-22 20:13:12.700,-0.29
2025-05-22 20:13:12.880,-0.29
2025-05-22 20:13:13.000,-0.24
2025-05-22 20:13:13.179,-0.29
2025-05-22 20:13:13.300,-0.24
2025-05-22 20:13:13.479,-0.24
2025-05-22 20:13:13.719,-0.29
2025-05-22 20:13:13.779,-0.29
2025-05-22 20:13:13.960,-0.24
2025-05-22 20:13:14.079,-0.29
2025-05-22 20:13:14.260,-0.29
2025-05-22 20:13:14.379,-0.29
2025-05-22 20:13:14.560,-0.24
2025-05-22 20:13:14.679,-0.29
2025-05-22 20:13:14.860,-0.24
2025-05-22 20:13:15.040,-0.29
2025-05-22 20:13:15.160,-0.24
2025-05-22 20:13:15.339,-0.24
2025-05-22 20:13:15.460,-0.29
2025-05-22 20:13:15.639,-0.29
2025-05-22 20:13:15.760,-0.29
2025-05-22 20:13:15.939,-0.24
2025-05-22 20:13:16.060,-0.29
2025-05-22 20:13:16.239,-0.29
2025-05-22 20:13:16.360,-0.24
2025-05-22 20:13:16.540,-0.29
